SrNo,Parameter,Unit,Date,Value,Data Source,Location,Latitude,Longitude
242,Total Coliform,MPN/100ml,"[01-09-2018, 30-09-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
243,Faecal Coliform,MPN/100ml,"[01-09-2018, 30-09-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
244,pH,-,"[01-10-2018, 31-10-2018]",7.4,CPCB 2018,Sector 83,30.658143,76.724407
245,Conductivity,µs/cm,"[01-10-2018, 31-10-2018]",584,CPCB 2018,Sector 83,30.658143,76.724407
246,DO,mg/l,"[01-10-2018, 31-10-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
247,COD,mg/l,"[01-10-2018, 31-10-2018]",160,CPCB 2018,Sector 83,30.658143,76.724407
248,BOD,mg/l,"[01-10-2018, 31-10-2018]",79,CPCB 2018,Sector 83,30.658143,76.724407
249,NO3-N,mg/l,"[01-10-2018, 31-10-2018]",1.5,CPCB 2018,Sector 83,30.658143,76.724407
250,NH3-N,mg/l,"[01-10-2018, 31-10-2018]",23,CPCB 2018,Sector 83,30.658143,76.724407
251,Phosphate,mg/l,"[01-10-2018, 31-10-2018]",2.4,CPCB 2018,Sector 83,30.658143,76.724407
252,TSS,mg/l,"[01-10-2018, 31-10-2018]",100,CPCB 2018,Sector 83,30.658143,76.724407
253,TDS,mg/l,"[01-10-2018, 31-10-2018]",384,CPCB 2018,Sector 83,30.658143,76.724407
254,FS,mg/l,"[01-10-2018, 31-10-2018]",280,CPCB 2018,Sector 83,30.658143,76.724407
255,Turbidity,NTU,"[01-10-2018, 31-10-2018]",112,CPCB 2018,Sector 83,30.658143,76.724407
256,TH as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",220,CPCB 2018,Sector 83,30.658143,76.724407
257,Ca as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",128,CPCB 2018,Sector 83,30.658143,76.724407
258,Mg as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",92,CPCB 2018,Sector 83,30.658143,76.724407
259,Sulphate,mg/l,"[01-10-2018, 31-10-2018]",68,CPCB 2018,Sector 83,30.658143,76.724407
260,Chloride,mg/l,"[01-10-2018, 31-10-2018]",40,CPCB 2018,Sector 83,30.658143,76.724407
261,Total alkalinity as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",234,CPCB 2018,Sector 83,30.658143,76.724407
262,P-Alkalinity,mg/l,"[01-10-2018, 31-10-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
263,Fluoride,mg/l,"[01-10-2018, 31-10-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
264,Colour,Hazen,"[01-10-2018, 31-10-2018]",30,CPCB 2018,Sector 83,30.658143,76.724407
265,Boron(B),mg/l,"[01-10-2018, 31-10-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
266,TKN,mg/l,"[01-10-2018, 31-10-2018]",4.9,CPCB 2018,Sector 83,30.658143,76.724407
267,Potassium,mg/l,"[01-10-2018, 31-10-2018]",12,CPCB 2018,Sector 83,30.658143,76.724407
268,Sodium,mg/l,"[01-10-2018, 31-10-2018]",28,CPCB 2018,Sector 83,30.658143,76.724407
269,Total Coliform,MPN/100ml,"[01-10-2018, 31-10-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
270,Faecal Coliform,MPN/100ml,"[01-10-2018, 31-10-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
271,pH,-,"[01-11-2018, 30-11-2018]",7,CPCB 2018,Sector 83,30.658143,76.724407
272,Conductivity,µs/cm,"[01-11-2018, 30-11-2018]",611,CPCB 2018,Sector 83,30.658143,76.724407
273,DO,mg/l,"[01-11-2018, 30-11-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
274,COD,mg/l,"[01-11-2018, 30-11-2018]",204,CPCB 2018,Sector 83,30.658143,76.724407
275,BOD,mg/l,"[01-11-2018, 30-11-2018]",65,CPCB 2018,Sector 83,30.658143,76.724407
276,NO3-N,mg/l,"[01-11-2018, 30-11-2018]",2,CPCB 2018,Sector 83,30.658143,76.724407
277,NH3-N,mg/l,"[01-11-2018, 30-11-2018]",23,CPCB 2018,Sector 83,30.658143,76.724407
278,Phosphate,mg/l,"[01-11-2018, 30-11-2018]",2.4,CPCB 2018,Sector 83,30.658143,76.724407
279,TSS,mg/l,"[01-11-2018, 30-11-2018]",120,CPCB 2018,Sector 83,30.658143,76.724407
280,TDS,mg/l,"[01-11-2018, 30-11-2018]",300,CPCB 2018,Sector 83,30.658143,76.724407
281,FS,mg/l,"[01-11-2018, 30-11-2018]",248,CPCB 2018,Sector 83,30.658143,76.724407
282,Turbidity,NTU,"[01-11-2018, 30-11-2018]",119,CPCB 2018,Sector 83,30.658143,76.724407
283,TH as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",220,CPCB 2018,Sector 83,30.658143,76.724407
284,Ca as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",142,CPCB 2018,Sector 83,30.658143,76.724407
285,Mg as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",78,CPCB 2018,Sector 83,30.658143,76.724407
286,Sulphate,mg/l,"[01-11-2018, 30-11-2018]",74,CPCB 2018,Sector 83,30.658143,76.724407
287,Chloride,mg/l,"[01-11-2018, 30-11-2018]",41,CPCB 2018,Sector 83,30.658143,76.724407
288,Total alkalinity as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",266,CPCB 2018,Sector 83,30.658143,76.724407
289,P-Alkalinity,mg/l,"[01-11-2018, 30-11-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
290,Fluoride,mg/l,"[01-11-2018, 30-11-2018]",0.12,CPCB 2018,Sector 83,30.658143,76.724407
291,Colour,Hazen,"[01-11-2018, 30-11-2018]",30,CPCB 2018,Sector 83,30.658143,76.724407
292,Boron(B),mg/l,"[01-11-2018, 30-11-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
293,TKN,mg/l,"[01-11-2018, 30-11-2018]",26,CPCB 2018,Sector 83,30.658143,76.724407
294,Potassium,mg/l,"[01-11-2018, 30-11-2018]",22,CPCB 2018,Sector 83,30.658143,76.724407
295,Sodium,mg/l,"[01-11-2018, 30-11-2018]",17,CPCB 2018,Sector 83,30.658143,76.724407
296,Total Coliform,MPN/100ml,"[01-11-2018, 30-11-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
297,Faecal Coliform,MPN/100ml,"[01-11-2018, 30-11-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
298,pH,-,"[01-12-2018, 31-12-2018]",7.1,CPCB 2018,Sector 83,30.658143,76.724407
299,Conductivity,µs/cm,"[01-12-2018, 31-12-2018]",696,CPCB 2018,Sector 83,30.658143,76.724407
300,DO,mg/l,"[01-12-2018, 31-12-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
301,COD,mg/l,"[01-12-2018, 31-12-2018]",228,CPCB 2018,Sector 83,30.658143,76.724407
302,BOD,mg/l,"[01-12-2018, 31-12-2018]",69,CPCB 2018,Sector 83,30.658143,76.724407
303,NO3-N,mg/l,"[01-12-2018, 31-12-2018]",6.3,CPCB 2018,Sector 83,30.658143,76.724407
304,NH3-N,mg/l,"[01-12-2018, 31-12-2018]",29,CPCB 2018,Sector 83,30.658143,76.724407
305,Phosphate,mg/l,"[01-12-2018, 31-12-2018]",3.3,CPCB 2018,Sector 83,30.658143,76.724407
306,TSS,mg/l,"[01-12-2018, 31-12-2018]",113,CPCB 2018,Sector 83,30.658143,76.724407
307,TDS,mg/l,"[01-12-2018, 31-12-2018]",318,CPCB 2018,Sector 83,30.658143,76.724407
308,FS,mg/l,"[01-12-2018, 31-12-2018]",324,CPCB 2018,Sector 83,30.658143,76.724407
309,Turbidity,NTU,"[01-12-2018, 31-12-2018]",112,CPCB 2018,Sector 83,30.658143,76.724407
310,TH as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",220,CPCB 2018,Sector 83,30.658143,76.724407
311,Ca as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",140,CPCB 2018,Sector 83,30.658143,76.724407
312,Mg as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",80,CPCB 2018,Sector 83,30.658143,76.724407
313,Sulphate,mg/l,"[01-12-2018, 31-12-2018]",66,CPCB 2018,Sector 83,30.658143,76.724407
314,Chloride,mg/l,"[01-12-2018, 31-12-2018]",40,CPCB 2018,Sector 83,30.658143,76.724407
315,Total alkalinity as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",282,CPCB 2018,Sector 83,30.658143,76.724407
316,P-Alkalinity,mg/l,"[01-12-2018, 31-12-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
317,Fluoride,mg/l,"[01-12-2018, 31-12-2018]",0.12,CPCB 2018,Sector 83,30.658143,76.724407
318,Colour,Hazen,"[01-12-2018, 31-12-2018]",30,CPCB 2018,Sector 83,30.658143,76.724407
319,Boron(B),mg/l,"[01-12-2018, 31-12-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
320,TKN,mg/l,"[01-12-2018, 31-12-2018]",10.9,CPCB 2018,Sector 83,30.658143,76.724407
321,Potassium,mg/l,"[01-12-2018, 31-12-2018]",2,CPCB 2018,Sector 83,30.658143,76.724407
322,Sodium,mg/l,"[01-12-2018, 31-12-2018]",39,CPCB 2018,Sector 83,30.658143,76.724407
323,Total Coliform,MPN/100ml,"[01-12-2018, 31-12-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
324,Faecal Coliform,MPN/100ml,"[01-12-2018, 31-12-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
325,pH,,"[01-01-2024, 31-12-2024]",7.6,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
326,COD,mg/l,"[01-01-2024, 31-12-2024]",111,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
327,BOD,mg/l,"[01-01-2024, 31-12-2024]",31,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
328,TSS,mg/l,"[01-01-2024, 31-12-2024]",49,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
329,TDS,mg/l,"[01-01-2024, 31-12-2024]",484,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
330,Conductivity,mg/l,"[01-01-2024, 31-12-2024]",920,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
331,Chloride,mg/l,"[01-01-2024, 31-12-2024]",29,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
332,Phosphate-P,mg/l,"[01-01-2024, 31-12-2024]",2,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
333,NO2-N,mg/l,"[01-01-2024, 31-12-2024]",0,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
334,NO3-N,mg/l,"[01-01-2024, 31-12-2024]",0.5,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
335,NH3-N,mg/l,"[01-01-2024, 31-12-2024]",13,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
336,SO4,mg/l,"[01-01-2024, 31-12-2024]",47,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
337,Colour,CU,"[01-01-2024, 31-12-2024]",0,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
338,TKN,mg/l,"[01-01-2024, 31-12-2024]",16,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
339,T-Coliform,MPN/100 ml,"[01-01-2024, 31-12-2024]",79x10^5,Green tribunal,NCM03 - Sector 83,30.658143,76.724407
340,pH,-,"[01-01-2018, 31-01-2018]",6.5,CPCB,3BRD,30.6921376,76.7361159
341,Conductivity,µs/cm,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
342,DO,mg/l,"[01-01-2018, 31-01-2018]",0.0,CPCB,3BRD,30.6921376,76.7361159
343,COD,mg/l,"[01-01-2018, 31-01-2018]",100.0,CPCB,3BRD,30.6921376,76.7361159
344,BOD,mg/l,"[01-01-2018, 31-01-2018]",33.0,CPCB,3BRD,30.6921376,76.7361159
345,NO3-N,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
346,NH3-N,mg/l,"[01-01-2018, 31-01-2018]",3.0,CPCB,3BRD,30.6921376,76.7361159
347,Phosphate,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
348,TSS,mg/l,"[01-01-2018, 31-01-2018]",52.0,CPCB,3BRD,30.6921376,76.7361159
349,TDS,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
350,FS,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
351,Turbidity,NTU,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
352,TH as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
353,Ca as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
354,Mg as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
355,Sulphate,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
356,Chloride,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
357,Total alkalinity as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
358,P-Alkalinity,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
359,Fluoride,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
360,Colour,Hazen,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
361,Boron(B),mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
362,TKN,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
363,Potassium,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
364,Sodium,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,3BRD,30.6921376,76.7361159
365,Total Coliform,MPN/100ml,"[01-01-2018, 31-01-2018]",3.8E+4,CPCB,3BRD,30.6921376,76.7361159
366,Faecal Coliform,MPN/100ml,"[01-01-2018, 31-01-2018]",3.2E+4,CPCB,3BRD,30.6921376,76.7361159
367,pH,-,"[01-02-2018, 28-02-2018]",7.3,CPCB,3BRD,30.6921376,76.7361159
368,Conductivity,µs/cm,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
369,DO,mg/l,"[01-02-2018, 28-02-2018]",6.9,CPCB,3BRD,30.6921376,76.7361159
370,COD,mg/l,"[01-02-2018, 28-02-2018]",37.0,CPCB,3BRD,30.6921376,76.7361159
371,BOD,mg/l,"[01-02-2018, 28-02-2018]",15.0,CPCB,3BRD,30.6921376,76.7361159
372,NO3-N,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
373,NH3-N,mg/l,"[01-02-2018, 28-02-2018]",3.0,CPCB,3BRD,30.6921376,76.7361159
374,Phosphate,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
375,TSS,mg/l,"[01-02-2018, 28-02-2018]",27.0,CPCB,3BRD,30.6921376,76.7361159
376,TDS,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
377,FS,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
378,Turbidity,NTU,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
379,TH as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
380,Ca as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
381,Mg as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
382,Sulphate,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
383,Chloride,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
384,Total alkalinity as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
385,P-Alkalinity,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
386,Fluoride,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
387,Colour,Hazen,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
388,Boron(B),mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
389,TKN,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
390,Potassium,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
391,Sodium,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,3BRD,30.6921376,76.7361159
392,Total Coliform,MPN/100ml,"[01-02-2018, 28-02-2018]",21.0,CPCB,3BRD,30.6921376,76.7361159
393,Faecal Coliform,MPN/100ml,"[01-02-2018, 28-02-2018]",17.0,CPCB,3BRD,30.6921376,76.7361159
394,pH,-,"[01-03-2018, 31-03-2018]",7.3,CPCB,3BRD,30.6921376,76.7361159
395,Conductivity,µs/cm,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
396,DO,mg/l,"[01-03-2018, 31-03-2018]",1.7,CPCB,3BRD,30.6921376,76.7361159
397,COD,mg/l,"[01-03-2018, 31-03-2018]",122.0,CPCB,3BRD,30.6921376,76.7361159
398,BOD,mg/l,"[01-03-2018, 31-03-2018]",50.0,CPCB,3BRD,30.6921376,76.7361159
399,NO3-N,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
400,NH3-N,mg/l,"[01-03-2018, 31-03-2018]",4.0,CPCB,3BRD,30.6921376,76.7361159
401,Phosphate,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
402,TSS,mg/l,"[01-03-2018, 31-03-2018]",93.0,CPCB,3BRD,30.6921376,76.7361159
403,TDS,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
404,FS,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
405,Turbidity,NTU,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
406,TH as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
407,Ca as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
408,Mg as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
409,Sulphate,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
410,Chloride,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
411,Total alkalinity as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
412,P-Alkalinity,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
413,Fluoride,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
414,Colour,Hazen,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
415,Boron(B),mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
416,TKN,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
417,Potassium,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
418,Sodium,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,3BRD,30.6921376,76.7361159
419,Total Coliform,MPN/100ml,"[01-03-2018, 31-03-2018]",6.9E+4,CPCB,3BRD,30.6921376,76.7361159
420,Faecal Coliform,MPN/100ml,"[01-03-2018, 31-03-2018]",4.5E+4,CPCB,3BRD,30.6921376,76.7361159
421,pH,-,"[01-04-2018, 30-04-2018]",7.2,CPCB,3BRD,30.6921376,76.7361159
422,Conductivity,µs/cm,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
423,DO,mg/l,"[01-04-2018, 30-04-2018]",6.2,CPCB,3BRD,30.6921376,76.7361159
424,COD,mg/l,"[01-04-2018, 30-04-2018]",33.0,CPCB,3BRD,30.6921376,76.7361159
425,BOD,mg/l,"[01-04-2018, 30-04-2018]",9.0,CPCB,3BRD,30.6921376,76.7361159
426,NO3-N,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
427,NH3-N,mg/l,"[01-04-2018, 30-04-2018]",3.0,CPCB,3BRD,30.6921376,76.7361159
428,Phosphate,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
429,TSS,mg/l,"[01-04-2018, 30-04-2018]",28.0,CPCB,3BRD,30.6921376,76.7361159
430,TDS,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
431,FS,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
432,Turbidity,NTU,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
433,TH as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
434,Ca as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
435,Mg as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
436,Sulphate,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
437,Chloride,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
438,Total alkalinity as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
439,P-Alkalinity,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
440,Fluoride,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
441,Colour,Hazen,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
442,Boron(B),mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
443,TKN,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
444,Potassium,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
445,Sodium,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,3BRD,30.6921376,76.7361159
446,Total Coliform,MPN/100ml,"[01-04-2018, 30-04-2018]",3000.0,CPCB,3BRD,30.6921376,76.7361159
447,Faecal Coliform,MPN/100ml,"[01-04-2018, 30-04-2018]",2200.0,CPCB,3BRD,30.6921376,76.7361159
448,pH,-,"[01-05-2018, 31-05-2018]",7.2,CPCB,3BRD,30.6921376,76.7361159
449,Conductivity,µs/cm,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
450,DO,mg/l,"[01-05-2018, 31-05-2018]",5.9,CPCB,3BRD,30.6921376,76.7361159
451,COD,mg/l,"[01-05-2018, 31-05-2018]",27.0,CPCB,3BRD,30.6921376,76.7361159
452,BOD,mg/l,"[01-05-2018, 31-05-2018]",7.0,CPCB,3BRD,30.6921376,76.7361159
453,NO3-N,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
454,NH3-N,mg/l,"[01-05-2018, 31-05-2018]",7.0,CPCB,3BRD,30.6921376,76.7361159
455,Phosphate,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
456,TSS,mg/l,"[01-05-2018, 31-05-2018]",10.0,CPCB,3BRD,30.6921376,76.7361159
457,TDS,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
458,FS,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
459,Turbidity,NTU,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
460,TH as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
461,Ca as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
462,Mg as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
463,Sulphate,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
464,Chloride,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
465,Total alkalinity as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
466,P-Alkalinity,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
467,Fluoride,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
468,Colour,Hazen,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
469,Boron(B),mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
470,TKN,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
471,Potassium,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
472,Sodium,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,3BRD,30.6921376,76.7361159
473,Total Coliform,MPN/100ml,"[01-05-2018, 31-05-2018]",1.1E+4,CPCB,3BRD,30.6921376,76.7361159
474,Faecal Coliform,MPN/100ml,"[01-05-2018, 31-05-2018]",4500.0,CPCB,3BRD,30.6921376,76.7361159
475,pH,-,"[01-06-2018, 30-06-2018]",7.3,CPCB,3BRD,30.6921376,76.7361159
476,Conductivity,µs/cm,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
477,DO,mg/l,"[01-06-2018, 30-06-2018]",4.4,CPCB,3BRD,30.6921376,76.7361159
478,COD,mg/l,"[01-06-2018, 30-06-2018]",34.0,CPCB,3BRD,30.6921376,76.7361159
479,BOD,mg/l,"[01-06-2018, 30-06-2018]",11.0,CPCB,3BRD,30.6921376,76.7361159
480,NO3-N,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
481,NH3-N,mg/l,"[01-06-2018, 30-06-2018]",3.0,CPCB,3BRD,30.6921376,76.7361159
482,Phosphate,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
483,TSS,mg/l,"[01-06-2018, 30-06-2018]",35.0,CPCB,3BRD,30.6921376,76.7361159
484,TDS,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
485,FS,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
486,Turbidity,NTU,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
487,TH as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
488,Ca as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
489,Mg as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
